                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0402,                0.73466,                0.99851,                0.04108,                0.01562,                0.00172,                0.00069,                 4.1662,                 9.5749,                 3.0738,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0585,                0.75903,                0.97668,                0.02544,                0.01562,                0.00092,                0.00028,                 4.0747,                 9.7098,                 2.9343,              0.0016172,              0.0016172,              0.0016172
                     60,                0.93543,                0.65582,                0.92818,                0.02675,                0.01562,                0.00126,                0.00025,                 4.0307,                 9.3585,                 2.6043,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0617,                0.75498,                 0.9425,                0.02224,                0.01562,                0.00128,                0.00051,                 4.0154,                 9.3296,                 2.6551,               0.001604,               0.001604,               0.001604
                     62,                0.90914,                 0.6476,                 0.9037,                0.02527,                0.01562,                0.00113,                0.00023,                 4.1239,                 10.591,                 2.7346,              0.0015974,              0.0015974,              0.0015974
                     63,                0.97253,                0.62632,                0.90035,                0.01473,                0.01562,                0.00072,                0.00036,                  4.126,                 14.822,                 2.8433,              0.0015908,              0.0015908,              0.0015908
                     64,                0.93853,                0.64815,                0.96547,                  0.019,                0.01562,                0.00107,                0.00043,                 4.1623,                 11.192,                 2.8369,              0.0015842,              0.0015842,              0.0015842
                     65,                 0.8886,                 0.6505,                0.94113,                0.02281,                0.01562,                0.00115,                0.00035,                 4.0203,                 10.736,                 2.8136,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0136,                0.60902,                0.90429,                0.00954,                0.01562,                0.00082,                0.00033,                 4.1189,                 13.043,                 2.9769,               0.001571,               0.001571,               0.001571
                     67,                  1.126,                0.77809,                 0.9705,                0.02096,                0.01562,                0.00095,                0.00028,                 4.1113,                 12.566,                 2.8135,              0.0015644,              0.0015644,              0.0015644
                     68,                0.90945,                0.62125,                0.89711,                0.04578,                0.01562,                0.00168,                0.00067,                 4.0985,                 10.779,                 2.7288,              0.0015578,              0.0015578,              0.0015578
                     69,                0.92533,                0.59311,                0.89321,                0.03867,                0.01562,                0.00161,                0.00064,                 3.8936,                 11.071,                 2.7848,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0343,                0.75543,                0.94325,                 0.0416,                0.01562,                0.00239,                0.00096,                 4.1835,                 10.797,                 2.9444,              0.0015446,              0.0015446,              0.0015446
                     71,                0.91525,                0.63248,                0.92397,                0.08656,                0.01562,                0.00589,                0.00177,                 4.2404,                 9.9122,                 3.0203,               0.001538,               0.001538,               0.001538
                     72,                0.92633,                0.62889,                0.91089,                0.03627,                0.01562,                0.00159,                0.00048,                 4.1606,                 12.351,                 3.0634,              0.0015314,              0.0015314,              0.0015314
                     73,                0.97018,                0.73273,                0.94958,                0.03465,                0.01562,                0.00174,                0.00052,                 4.1742,                 11.069,                 2.9497,              0.0015248,              0.0015248,              0.0015248
                     74,                0.99633,                0.66514,                0.94709,                0.05744,                0.01562,                0.00376,                0.00188,                 4.1758,                 9.7849,                 2.6936,              0.0015182,              0.0015182,              0.0015182
                     75,                0.97091,                0.63174,                0.95727,                0.04978,                0.01562,                0.00291,                0.00116,                 3.9942,                 10.109,                 2.7238,              0.0015116,              0.0015116,              0.0015116
                     76,                0.98152,                0.68112,                0.93159,                0.04097,                0.01562,                0.00171,                0.00068,                 4.2683,                 10.973,                 2.8345,               0.001505,               0.001505,               0.001505
                     77,                0.89465,                0.60749,                0.96008,                0.03792,                0.01562,                0.00201,                0.00081,                 4.3753,                 10.963,                 2.8641,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.0214,                0.75864,                0.93902,                0.05546,                0.01562,                0.00354,                0.00142,                 4.3034,                 10.482,                  2.896,              0.0014918,              0.0014918,              0.0014918
                     79,                0.89803,                0.64742,                0.91695,                0.04484,                0.01562,                 0.0031,                0.00062,                 4.2147,                 10.011,                  2.662,              0.0014852,              0.0014852,              0.0014852
                     80,                0.96752,                0.66406,                0.90107,                0.02869,                0.01562,                0.00122,                0.00049,                 4.0261,                 9.9577,                 2.8731,              0.0014786,              0.0014786,              0.0014786
                     81,                0.84512,                0.56872,                0.90887,                0.02825,                0.01562,                0.00108,                0.00054,                 4.0752,                  9.968,                 2.8395,               0.001472,               0.001472,               0.001472
                     82,                 1.0212,                 0.6586,                 0.8926,                0.03671,                0.01562,                0.00133,                0.00077,                 4.0532,                 10.265,                 2.8781,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.0706,                0.66187,                0.96289,                0.04588,                0.01562,                0.00131,                 0.0003,                 4.1849,                 9.7342,                 3.1138,              0.0014588,              0.0014588,              0.0014588
                     84,                0.94997,                0.59315,                0.91012,                0.03028,                0.01562,                0.00221,                0.00078,                 4.2146,                 9.1675,                 2.9913,              0.0014522,              0.0014522,              0.0014522
