                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.3353,                 1.0995,                 1.0415,                0.03926,                0.01562,                0.00118,                0.00059,                 4.3793,                 6.7108,                 3.0102,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.2838,                 1.0624,                 1.1363,                 0.0519,                0.01562,                0.00155,                0.00031,                 4.2348,                  8.089,                 2.7586,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2728,                 1.1349,                 1.1016,                0.03114,                0.01562,                0.00092,                0.00018,                 4.1321,                 8.0063,                 2.7231,              0.0014258,              0.0014258,              0.0014258
                     60,                  1.078,                0.90136,                 1.0044,                0.03006,                0.01562,                0.00085,                 0.0005,                  3.949,                 7.6273,                  2.754,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.3537,                  1.026,                 1.0454,                0.03014,                0.01562,                0.00084,                 0.0004,                 3.9521,                 7.5327,                 2.7342,               0.001406,               0.001406,               0.001406
                     62,                 1.1762,                0.95916,                 1.0212,                0.02471,                0.01562,                0.00084,                0.00057,                 3.9877,                 11.088,                  2.685,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.1622,                 0.9006,                0.98403,                 0.0267,                0.01562,                 0.0009,                0.00042,                 4.1737,                 10.505,                 2.6893,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.0872,                0.92569,                 1.0471,                0.02668,                0.01562,                0.00105,                0.00065,                 4.0202,                 8.1235,                 2.5011,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.0917,                0.86466,                 1.0268,                0.01924,                0.01562,                0.00061,                0.00028,                 4.3197,                  10.33,                 2.7621,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.2063,                0.87858,                 0.9689,                0.01953,                0.01562,                0.00069,                  7e-05,                 4.1153,                 9.7775,                 2.7691,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.3313,                 1.0686,                  1.066,                0.01349,                0.01562,                0.00071,                0.00021,                 4.2236,                 8.2113,                 2.6761,              0.0013466,              0.0013466,              0.0013466
                     68,                  1.134,                0.89164,                0.96243,                0.03418,                0.01562,                0.00111,                0.00027,                 4.2389,                 7.7437,                 2.7025,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.1317,                0.86339,                0.96511,                0.03879,                0.01562,                0.00174,                0.00032,                 4.2877,                  8.517,                 2.6932,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.146,                 1.0682,                 1.0064,                0.14043,                0.01562,                0.00339,                0.00082,                 4.1854,                 7.4447,                 2.6351,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.1554,                 0.9097,                 1.0436,                0.02425,                0.01562,                0.00072,                0.00014,                  3.971,                 8.3584,                 2.4318,               0.001307,               0.001307,               0.001307
                     72,                 1.1455,                 0.8519,                0.98106,                0.02178,                0.01562,                0.00056,                0.00011,                  4.012,                 10.176,                 2.4736,              0.0012971,              0.0012971,              0.0012971
                     73,                  1.245,                 1.1481,                 1.0063,                0.02511,                0.01562,                0.00061,                0.00012,                 4.1355,                 8.4316,                  2.526,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2444,                0.98519,                 1.0336,                0.01834,                0.01562,                0.00054,                0.00026,                 4.0665,                  8.559,                 2.6059,              0.0012773,              0.0012773,              0.0012773
